seller_id,spike_type,start_day,n_orders,duration_days,ramp_rate_vs_baseline,pct_new_buyers,n_distinct_states,geo_entropy,mean_delivery_days,std_delivery_days,return_rate,refund_claim_speed_days,refund_claim_speed_std
2,anomalous,89,45,4,9.7,0.627,9,1.662,8.789,5.72,0.248,7.601,1.31
2,anomalous,63,96,2,21.188,0.778,2,0.48,3.799,1.614,0.455,1.695,0.451
3,organic,136,46,2,8.497,0.709,12,2.384,8.713,6.106,0.042,5.329,3.89
3,anomalous,78,35,1,28.677,0.945,3,0.562,2.518,0.5,0.583,4.671,0.053
4,organic,163,17,1,14.027,0.797,9,2.186,7.472,3.096,0.333,6.723,4.614
5,anomalous,45,35,1,23.872,0.765,2,0.328,1.429,1.894,0.975,0.735,0.279
7,organic,92,33,4,8.168,0.659,9,2.081,9.096,6.657,0.264,11.226,4.214
10,organic,23,25,1,14.856,0.8,15,2.69,8.582,4.697,0.137,6.647,1.212
12,anomalous,158,44,1,25.144,0.784,1,0.331,3.038,1.36,0.902,0.475,0.411
13,organic,86,39,4,4.201,0.45,6,1.384,12.551,7.076,0.179,9.263,0.808
14,organic,45,19,2,4.15,0.511,9,1.832,9.41,3.611,0.173,7.568,2.192
16,organic,101,20,5,3.048,0.367,9,2.427,8.422,2.825,0.038,10.181,4.662
18,organic,116,32,5,4.59,0.437,12,2.19,6.25,4.488,0.037,8.312,4.691
19,organic,39,41,3,10.09,0.643,11,2.313,11.515,7.383,0.325,11.758,3.031
22,anomalous,133,15,1,12.188,0.819,2,0.687,4.187,0.845,0.762,3.351,0.737
23,organic,114,115,3,13.429,0.75,8,1.259,2.408,7.378,0.221,4.754,1.337
23,anomalous,145,52,4,9.626,0.594,3,0.575,7.606,2.173,0.327,5.547,2.534
25,organic,0,37,2,9.188,0.824,9,1.76,6.251,8.263,0.347,7.363,2.216
26,organic,104,41,3,6.573,0.551,17,3.265,4.51,4.12,0.026,5.328,3.679
30,organic,36,24,2,5.064,0.735,6,1.657,10.898,6.215,0.048,9.338,1.124
32,organic,157,24,5,4.226,0.327,13,2.296,12.904,3.114,0.099,10.808,2.558
34,anomalous,28,60,3,8.451,0.66,6,1.295,4.079,2.63,0.138,3.344,1.336
36,organic,1,25,3,5.715,0.321,8,2.012,5.921,8.123,0.043,8.879,3.305
40,organic,52,26,2,14.362,0.817,8,1.737,6.561,3.002,0.27,4.68,3.706
41,anomalous,129,67,2,9.773,0.822,5,0.742,6.982,1.415,0.484,2.611,0.577
45,organic,59,21,4,3.512,0.453,3,0.788,8.98,5.941,0.06,8.811,1.941
46,organic,58,72,5,8.882,0.655,14,2.021,12.679,7.464,0.078,10.617,1.623
47,organic,74,18,2,9.006,0.439,5,1.22,9.856,4.474,0.284,11.091,2.513
48,organic,101,51,3,8.705,0.94,4,0.568,6.252,3.857,0.262,3.225,3.232
50,organic,1,26,1,11.167,0.591,8,1.809,10.669,2.617,0.106,4.023,1.721
