seller_id,spike_type,start_day,n_orders,duration_days,ramp_rate_vs_baseline,pct_new_buyers,n_distinct_states,geo_entropy,mean_delivery_days,std_delivery_days,return_rate,refund_claim_speed_days,refund_claim_speed_std
2826,organic,26,66,3,11.179,0.86,12,2.426,9.069,7.34,0.346,11.741,3.565
3774,anomalous,38,76,2,21.974,0.87,1,0.148,0.384,0.05,0.731,2.79,0.057
2989,organic,60,25,2,6.556,0.616,7,1.602,7.81,7.423,0.012,13.098,2.289
932,organic,100,23,3,9.928,0.641,12,2.627,3.363,6.812,0.275,7.796,4.099
594,anomalous,130,62,1,18.789,1.0,3,0.505,3.481,1.006,0.408,0.312,0.525
1553,anomalous,110,26,2,5.48,0.691,4,0.752,5.738,3.685,0.417,2.919,1.076
3630,anomalous,67,74,1,23.857,0.913,3,0.442,6.034,0.934,0.653,1.323,0.156
2408,organic,32,25,1,13.959,0.729,17,3.289,3.173,5.097,0.009,10.813,3.029
2803,organic,158,23,4,4.503,0.472,14,2.861,6.852,8.168,0.067,13.865,4.987
1827,anomalous,161,60,1,33.551,0.795,2,0.353,1.46,0.05,0.936,0.79,0.408
2075,organic,5,116,3,15.92,0.633,4,1.001,5.668,0.182,0.719,1.265,0.4
1001,organic,59,28,2,6.432,0.648,11,2.406,7.023,3.897,0.086,9.312,3.321
3021,organic,78,40,1,14.427,0.726,7,1.235,5.763,7.465,0.35,5.611,3.56
2128,anomalous,77,28,1,14.87,0.718,4,0.439,1.366,1.225,0.73,3.549,0.02
3410,organic,51,28,4,7.776,0.577,6,1.352,8.35,4.529,0.296,7.735,1.987
2627,organic,166,11,2,2.601,0.637,13,3.533,8.241,7.325,0.0,8.972,2.284
3373,organic,142,33,1,13.909,0.714,6,0.625,2.842,0.768,0.629,0.442,0.483
3178,anomalous,54,79,4,11.614,0.688,5,0.469,6.357,4.174,0.304,6.172,2.332
2689,organic,106,8,1,7.118,0.677,4,1.534,8.981,7.065,0.0,11.69,1.979
927,anomalous,33,50,1,27.062,0.737,2,0.554,0.05,0.469,1.0,2.416,0.097
116,organic,137,75,4,9.577,0.582,11,2.104,16.861,7.025,0.049,6.394,0.75
1910,organic,95,39,3,5.737,0.83,7,1.846,11.045,6.653,0.157,5.871,3.386
2793,anomalous,121,67,2,21.868,0.815,3,0.449,1.68,1.006,0.873,1.003,0.163
1157,organic,135,21,2,6.618,0.698,18,4.368,14.387,8.195,0.076,12.205,1.028
1386,organic,89,28,1,12.312,0.914,3,0.538,5.217,3.323,0.385,5.318,4.193
2901,organic,135,65,3,11.758,0.799,14,2.524,7.1,3.804,0.272,8.096,5.068
