threshold,precision,recall,fp,fn,tp,tn,total_cost
0.01,0.4811320754716981,0.9532710280373832,110,5,102,131,336500
0.02,0.6035502958579881,0.9532710280373832,67,5,102,174,330050
0.03,0.643312101910828,0.9439252336448598,56,6,101,185,392400
0.04,0.6644736842105263,0.9439252336448598,51,6,101,190,391650
0.05,0.696551724137931,0.9439252336448598,44,6,101,197,390600
0.060000000000000005,0.7226277372262774,0.9252336448598131,38,8,99,203,517700
0.06999999999999999,0.7368421052631579,0.9158878504672897,35,9,98,206,581250
0.08,0.7596899224806202,0.9158878504672897,31,9,98,210,580650
0.09,0.7716535433070866,0.9158878504672897,29,9,98,212,580350
0.09999999999999999,0.7967479674796748,0.9158878504672897,25,9,98,216,579750
0.11,0.8099173553719008,0.9158878504672897,23,9,98,218,579450
0.12,0.8220338983050848,0.9065420560747663,21,10,97,220,643150
0.13,0.8220338983050848,0.9065420560747663,21,10,97,220,643150
0.14,0.8275862068965517,0.897196261682243,20,11,96,221,707000
0.15000000000000002,0.8275862068965517,0.897196261682243,20,11,96,221,707000
0.16,0.8421052631578947,0.897196261682243,18,11,96,223,706700
0.17,0.8421052631578947,0.897196261682243,18,11,96,223,706700
0.18000000000000002,0.8495575221238938,0.897196261682243,17,11,96,224,706550
0.19,0.8482142857142857,0.8878504672897196,17,12,95,224,770550
0.2,0.8636363636363636,0.8878504672897196,15,12,95,226,770250
0.21000000000000002,0.8715596330275229,0.8878504672897196,14,12,95,227,770100
0.22,0.8715596330275229,0.8878504672897196,14,12,95,227,770100
0.23,0.8878504672897196,0.8878504672897196,12,12,95,229,769800
0.24000000000000002,0.8952380952380953,0.8785046728971962,11,13,94,230,833650
0.25,0.9038461538461539,0.8785046728971962,10,13,94,231,833500
0.26,0.912621359223301,0.8785046728971962,9,13,94,232,833350
0.27,0.912621359223301,0.8785046728971962,9,13,94,232,833350
0.28,0.912621359223301,0.8785046728971962,9,13,94,232,833350
0.29000000000000004,0.9306930693069307,0.8785046728971962,7,13,94,234,833050
0.3,0.9306930693069307,0.8785046728971962,7,13,94,234,833050
0.31,0.9306930693069307,0.8785046728971962,7,13,94,234,833050
0.32,0.9306930693069307,0.8785046728971962,7,13,94,234,833050
0.33,0.9306930693069307,0.8785046728971962,7,13,94,234,833050
0.34,0.9306930693069307,0.8785046728971962,7,13,94,234,833050
0.35000000000000003,0.9306930693069307,0.8785046728971962,7,13,94,234,833050
0.36000000000000004,0.9306930693069307,0.8785046728971962,7,13,94,234,833050
0.37,0.93,0.8691588785046729,7,14,93,234,897050
0.38,0.93,0.8691588785046729,7,14,93,234,897050
0.39,0.9393939393939394,0.8691588785046729,6,14,93,235,896900
0.4,0.9393939393939394,0.8691588785046729,6,14,93,235,896900
0.41000000000000003,0.9393939393939394,0.8691588785046729,6,14,93,235,896900
0.42000000000000004,0.9489795918367347,0.8691588785046729,5,14,93,236,896750
0.43,0.9587628865979382,0.8691588785046729,4,14,93,237,896600
0.44,0.96875,0.8691588785046729,3,14,93,238,896450
0.45,0.96875,0.8691588785046729,3,14,93,238,896450
0.46,0.96875,0.8691588785046729,3,14,93,238,896450
0.47000000000000003,0.96875,0.8691588785046729,3,14,93,238,896450
0.48000000000000004,0.96875,0.8691588785046729,3,14,93,238,896450
0.49,0.96875,0.8691588785046729,3,14,93,238,896450
0.5,0.96875,0.8691588785046729,3,14,93,238,896450
0.51,0.96875,0.8691588785046729,3,14,93,238,896450
0.52,0.96875,0.8691588785046729,3,14,93,238,896450
0.53,0.96875,0.8691588785046729,3,14,93,238,896450
0.54,0.96875,0.8691588785046729,3,14,93,238,896450
0.55,0.96875,0.8691588785046729,3,14,93,238,896450
0.56,0.96875,0.8691588785046729,3,14,93,238,896450
0.5700000000000001,0.968421052631579,0.8598130841121495,3,15,92,238,960450
0.5800000000000001,0.968421052631579,0.8598130841121495,3,15,92,238,960450
0.59,0.968421052631579,0.8598130841121495,3,15,92,238,960450
0.6,0.968421052631579,0.8598130841121495,3,15,92,238,960450
0.61,0.968421052631579,0.8598130841121495,3,15,92,238,960450
0.62,0.968421052631579,0.8598130841121495,3,15,92,238,960450
0.63,0.968421052631579,0.8598130841121495,3,15,92,238,960450
0.64,0.968421052631579,0.8598130841121495,3,15,92,238,960450
0.65,0.9787234042553191,0.8598130841121495,2,15,92,239,960300
0.66,0.978494623655914,0.8504672897196262,2,16,91,239,1024300
0.67,0.978494623655914,0.8504672897196262,2,16,91,239,1024300
0.68,0.978494623655914,0.8504672897196262,2,16,91,239,1024300
0.6900000000000001,0.978494623655914,0.8504672897196262,2,16,91,239,1024300
0.7000000000000001,0.978494623655914,0.8504672897196262,2,16,91,239,1024300
0.7100000000000001,0.978494623655914,0.8504672897196262,2,16,91,239,1024300
0.72,0.978494623655914,0.8504672897196262,2,16,91,239,1024300
0.73,0.978494623655914,0.8504672897196262,2,16,91,239,1024300
0.74,0.978494623655914,0.8504672897196262,2,16,91,239,1024300
